5213772;5200000;MONTIVIDIU DO NORTE
5213806;5200000;MORRINHOS
5213855;5200000;MORRO AGUDO DE GOIÁS
5213905;5200000;MOSSÂMEDES
5214002;5200000;MOZARLÂNDIA
5214051;5200000;MUNDO NOVO
5214101;5200000;MUTUNÓPOLIS
5214408;5200000;NAZÁRIO
5214507;5200000;NERÓPOLIS
5214606;5200000;NIQUELÂNDIA
5214705;5200000;NOVA AMÉRICA
5214804;5200000;NOVA AURORA
5214838;5200000;NOVA CRIXÁS
5214861;5200000;NOVA GLÓRIA
5214879;5200000;NOVA IGUAÇU DE GOIÁS
5214903;5200000;NOVA ROMA
5215009;5200000;NOVA VENEZA
5215207;5200000;NOVO BRASIL
5215231;5200000;NOVO GAMA
5215256;5200000;NOVO PLANALTO
5215306;5200000;ORIZONA
5215405;5200000;OURO VERDE DE GOIÁS
5215504;5200000;OUVIDOR
5215603;5200000;PADRE BERNARDO
5215652;5200000;PALESTINA DE GOIÁS
5215702;5200000;PALMEIRAS DE GOIÁS
5215801;5200000;PALMELO
5215900;5200000;PALMINÓPOLIS
5216007;5200000;PANAMÁ
5216304;5200000;PARANAIGUARA
5216403;5200000;PARAÚNA
5216452;5200000;PEROLÂNDIA
5216809;5200000;PETROLINA DE GOIÁS
5216908;5200000;PILAR DE GOIÁS
5217104;5200000;PIRACANJUBA
5217203;5200000;PIRANHAS
5217302;5200000;PIRENÓPOLIS
5217401;5200000;PIRES DO RIO
5217609;5200000;PLANALTINA
5217708;5200000;PONTALINA
5218003;5200000;PORANGATU
5218052;5200000;PORTEIRÃO
5218102;5200000;PORTELÂNDIA
5218300;5200000;POSSE
5218391;5200000;PROFESSOR JAMIL
5218508;5200000;QUIRINÓPOLIS
5218607;5200000;RIALMA
5218706;5200000;RIANÁPOLIS
5218789;5200000;RIO QUENTE
5218805;5200000;RIO VERDE
5218904;5200000;RUBIATABA
5219001;5200000;SANCLERLÂNDIA
5219100;5200000;SANTA BÁRBARA DE GOIÁS
5219209;5200000;SANTA CRUZ DE GOIÁS
5219258;5200000;SANTA FÉ DE GOIÁS
5219308;5200000;SANTA HELENA DE GOIÁS
5219357;5200000;SANTA ISABEL
5219407;5200000;SANTA RITA DO ARAGUAIA
5219456;5200000;SANTA RITA DO NOVO DESTINO
5219506;5200000;SANTA ROSA DE GOIÁS
5219605;5200000;SANTA TEREZA DE GOIÁS
5219704;5200000;SANTA TEREZINHA DE GOIÁS
5219712;5200000;SANTO ANTÔNIO DA BARRA
5219738;5200000;SANTO ANTÔNIO DE GOIÁS
5219753;5200000;SANTO ANTÔNIO DO DESCOBERTO
5219803;5200000;SÃO DOMINGOS
5219902;5200000;SÃO FRANCISCO DE GOIÁS
5220009;5200000;SÃO JOÃO D'ALIANÇA
5220058;5200000;SÃO JOÃO DA PARAÚNA
5220108;5200000;SÃO LUIS DE MONTES BELOS
5220157;5200000;SÃO LUIZ DO NORTE
5220207;5200000;SÃO MIGUEL DO ARAGUAIA
5220264;5200000;SÃO MIGUEL DO PASSA QUATRO
5220280;5200000;SÃO PATRÍCIO
5220405;5200000;SÃO SIMÃO
5220454;5200000;SENADOR CANEDO
5220504;5200000;SERRANÓPOLIS
5220603;5200000;SILVÂNIA
5220686;5200000;SIMOLÂNDIA
5220702;5200000;SÍTIO D'ABADIA
5221007;5200000;TAQUARAL DE GOIÁS
5221080;5200000;TERESINA DE GOIÁS
5221197;5200000;TEREZÓPOLIS DE GOIÁS
5221304;5200000;TRÊS RANCHOS
5221403;5200000;TRINDADE
5221452;5200000;TROMBAS
5221502;5200000;TURVÂNIA
5221551;5200000;TURVELÂNDIA
5221577;5200000;UIRAPURU
5221601;5200000;URUAÇU
5221700;5200000;URUANA
5221809;5200000;URUTAÍ
5221858;5200000;VALPARAÍSO DE GOIÁS
5221908;5200000;VARJÃO
5222005;5200000;VIANÓPOLIS
5222054;5200000;VICENTINÓPOLIS
5222203;5200000;VILA BOA
5222302;5200000;VILA PROPÍCIO
5299999;5200000;GO, NÃO SABE MUNICÍPIO
