09:47:07= + 0s   = Inserindo data/motocicletas.csv
09:47:07= + 0s   = motocicletas.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/municipios.csv
09:47:07= + 0s   = municipios.csv
09:47:08= + 1s   = Inseridos: 5566
09:47:08= + 0s   = Inserindo data/ocupacoes_bases.csv
09:47:08= + 0s   = ocupacoes_bases.csv
09:47:08= + 0s   = Inseridos: 512
09:47:08= + 0s   = Inserindo data/ocupacoes_gerais.csv
09:47:08= + 0s   = ocupacoes_gerais.csv
09:47:08= + 0s   = Inseridos: 11
09:47:08= + 0s   = Inserindo data/ocupacoes_principais.csv
09:47:08= + 0s   = ocupacoes_principais.csv
09:47:09= + 1s   = Inseridos: 49
09:47:09= + 0s   = Inserindo data/ocupacoes_subgrupos.csv
09:47:09= + 0s   = ocupacoes_subgrupos.csv
09:47:09= + 0s   = Inseridos: 190
09:47:09= + 0s   = Inserindo data/paredes_externas.csv
09:47:09= + 0s   = paredes_externas.csv
09:47:09= + 0s   = Inseridos: 10
09:47:09= + 0s   = Inserindo data/pessoas_moravam_outros_paises.csv
09:47:09= + 0s   = pessoas_moravam_outros_paises.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/ponderacoes.csv
09:47:09= + 0s   = ponderacoes.csv
09:47:09= + 0s   = Inseridos: 389
09:47:09= + 0s   = Inserindo data/quantidades_banheiros.csv
09:47:09= + 0s   = quantidades_banheiros.csv
09:47:09= + 0s   = Inseridos: 10
09:47:09= + 0s   = Inserindo data/quantidades_comodos.csv
09:47:09= + 0s   = quantidades_comodos.csv
09:47:09= + 0s   = Inseridos: 31
09:47:09= + 0s   = Inserindo data/quantidades_dormitorios.csv
09:47:09= + 0s   = quantidades_dormitorios.csv
09:47:09= + 0s   = Inseridos: 16
09:47:09= + 0s   = Inserindo data/radios.csv
09:47:09= + 0s   = radios.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/regioes_geograficas.csv
09:47:09= + 0s   = regioes_geograficas.csv
09:47:09= + 0s   = Inseridos: 6
09:47:09= + 0s   = Inserindo data/registros_nascimentos.csv
09:47:09= + 0s   = registros_nascimentos.csv
09:47:09= + 0s   = Inseridos: 7
09:47:09= + 0s   = Inserindo data/religioes.csv
09:47:09= + 0s   = religioes.csv
09:47:09= + 0s   = Inseridos: 201
09:47:09= + 0s   = Inserindo data/responsaveis_domicilios.csv
09:47:09= + 0s   = responsaveis_domicilios.csv
09:47:09= + 0s   = Inseridos: 4
09:47:09= + 0s   = Inserindo data/sanitarios_buracos_dejecoes.csv
09:47:09= + 0s   = sanitarios_buracos_dejecoes.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/sexos.csv
09:47:09= + 0s   = sexos.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/situacoes_domicilios.csv
09:47:09= + 0s   = situacoes_domicilios.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/situacoes_setores.csv
09:47:09= + 0s   = situacoes_setores.csv
09:47:09= + 0s   = Inseridos: 9
09:47:09= + 0s   = Inserindo data/telefones_fixos.csv
09:47:09= + 0s   = telefones_fixos.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/televisoes.csv
09:47:09= + 0s   = televisoes.csv
09:47:09= + 0s   = Inseridos: 3
09:47:09= + 0s   = Inserindo data/unidades_domesticas.csv
09:47:09= + 0s   = unidades_domesticas.csv
09:47:09= + 0s   = Inseridos: 5
09:47:09= + 0s   = Inserindo data/unidades_federativas.csv
09:47:09= + 0s   = unidades_federativas.csv
09:47:09= + 0s   = Inseridos: 28
