09:56:07= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
09:56:08= + 1s   = Inserindo data/adequacoes_moradias.csv
09:56:08= + 0s   = adequacoes_moradias.csv
09:56:08= + 0s   = Inseridos: 4
09:56:08= + 0s   = Inserindo data/atividades_bases.csv
09:56:08= + 0s   = atividades_bases.csv
09:56:08= + 0s   = Inseridos: 223
09:56:08= + 0s   = Inserindo data/atividades_cnae_bases.csv
09:56:08= + 0s   = atividades_cnae_bases.csv
09:56:08= + 0s   = Inseridos: 242
09:56:08= + 0s   = Inserindo data/atividades_cnae_gerais.csv
09:56:08= + 0s   = atividades_cnae_gerais.csv
09:56:08= + 0s   = Inseridos: 23
09:56:08= + 0s   = Inserindo data/atividades_cnae_principais.csv
09:56:08= + 0s   = atividades_cnae_principais.csv
09:56:08= + 0s   = Inseridos: 88
09:56:08= + 0s   = Inserindo data/atividades_gerais.csv
09:56:08= + 0s   = atividades_gerais.csv
09:56:08= + 0s   = Inseridos: 18
09:56:08= + 0s   = Inserindo data/atividades_principais.csv
09:56:08= + 0s   = atividades_principais.csv
09:56:08= + 0s   = Inseridos: 60
09:56:08= + 0s   = Inserindo data/municipios.csv
09:56:08= + 0s   = municipios.csv
09:56:09= + 1s   = Inseridos: 5566
09:56:09= + 0s   = Inserindo data/municipios.csv
09:56:09= + 0s   = municipios.csv
09:56:09= + 0s   = Inseridos: 5566
09:56:09= + 0s   = Inserindo data/regioes_geograficas.csv
09:56:09= + 0s   = regioes_geograficas.csv
09:56:09= + 0s   = Inseridos: 6
09:56:09= + 0s   = Inserindo data/unidades_federativas.csv
09:56:09= + 0s   = unidades_federativas.csv
09:56:09= + 0s   = Inseridos: 28
