07:38:23= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
07:38:25= + 2s   = Inserindo data/adequacoes_moradias.csv
07:38:25= + 0s   = adequacoes_moradias.csv
07:38:25= + 0s   = Inseridos: 4
07:38:25= + 0s   = Inserindo data/atividades_bases.csv
07:38:25= + 0s   = atividades_bases.csv
07:38:25= + 0s   = Inseridos: 223
07:38:25= + 0s   = Inserindo data/atividades_cnae_bases.csv
07:38:25= + 0s   = atividades_cnae_bases.csv
07:38:25= + 0s   = Inseridos: 242
07:38:25= + 0s   = Inserindo data/atividades_cnae_gerais.csv
07:38:25= + 0s   = atividades_cnae_gerais.csv
07:38:25= + 0s   = Inseridos: 23
07:38:25= + 0s   = Inserindo data/atividades_cnae_principais.csv
07:38:25= + 0s   = atividades_cnae_principais.csv
07:38:25= + 0s   = Inseridos: 88
07:38:25= + 0s   = Inserindo data/atividades_gerais.csv
07:38:25= + 0s   = atividades_gerais.csv
07:38:25= + 0s   = Inseridos: 18
07:38:25= + 0s   = Inserindo data/atividades_principais.csv
07:38:25= + 0s   = atividades_principais.csv
07:38:25= + 0s   = Inseridos: 60
07:38:25= + 0s   = Inserindo data/automoveis.csv
07:38:26= + 1s   = automoveis.csv
07:38:26= + 0s   = Inseridos: 3
07:38:26= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
07:38:26= + 0s   = canalizacoes_abastecimentos_aguas.csv
07:38:26= + 0s   = Inseridos: 4
07:38:26= + 0s   = Inserindo data/celulares.csv
07:38:26= + 0s   = celulares.csv
07:38:26= + 0s   = Inseridos: 3
07:38:26= + 0s   = Inserindo data/condicoes_ocupacoes.csv
07:38:26= + 0s   = condicoes_ocupacoes.csv
07:38:26= + 0s   = Inseridos: 7
07:38:26= + 0s   = Inserindo data/cores_racas.csv
07:38:26= + 0s   = cores_racas.csv
07:38:26= + 0s   = Inseridos: 7
07:38:26= + 0s   = Inserindo data/cursos_superiores_bases.csv
07:38:26= + 0s   = cursos_superiores_bases.csv
07:38:26= + 0s   = Inseridos: 91
07:38:26= + 0s   = Inserindo data/cursos_superiores_gerais.csv
07:38:26= + 0s   = cursos_superiores_gerais.csv
07:38:26= + 0s   = Inseridos: 10
07:38:26= + 0s   = Inserindo data/cursos_superiores_principais.csv
07:38:26= + 0s   = cursos_superiores_principais.csv
07:38:26= + 0s   = Inseridos: 23
07:38:26= + 0s   = Inserindo data/destinos_lixos.csv
07:38:26= + 0s   = destinos_lixos.csv
07:38:26= + 0s   = Inseridos: 8
07:38:26= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
07:38:26= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
07:38:26= + 0s   = Inseridos: 6
07:38:26= + 0s   = Inserindo data/doutorados_bases.csv
07:38:26= + 0s   = doutorados_bases.csv
07:38:26= + 0s   = Inseridos: 77
07:38:26= + 0s   = Inserindo data/doutorados_gerais.csv
07:38:26= + 0s   = doutorados_gerais.csv
07:38:26= + 0s   = Inseridos: 10
07:38:26= + 0s   = Inserindo data/doutorados_principais.csv
07:38:26= + 0s   = doutorados_principais.csv
07:38:26= + 0s   = Inseridos: 24
07:38:26= + 0s   = Inserindo data/entrevistados.csv
07:38:26= + 0s   = entrevistados.csv
07:38:27= + 1s   = Inseridos: 21
07:38:27= + 0s   = Inserindo data/esgotamentos_sanitarios.csv
07:38:27= + 0s   = esgotamentos_sanitarios.csv
07:38:27= + 0s   = Inseridos: 7
07:38:27= + 0s   = Inserindo data/especies.csv
07:38:27= + 0s   = especies.csv
07:38:27= + 0s   = Inseridos: 14
07:38:27= + 0s   = Inserindo data/especies_unidades_visitadas.csv
07:38:27= + 0s   = especies_unidades_visitadas.csv
07:38:27= + 0s   = Inseridos: 5
07:38:27= + 0s   = Inserindo data/existencias_energias_eletricas.csv
07:38:27= + 0s   = existencias_energias_eletricas.csv
07:38:27= + 0s   = Inseridos: 4
07:38:27= + 0s   = Inserindo data/falecimentos_entre_datas.csv
07:38:27= + 0s   = falecimentos_entre_datas.csv
07:38:27= + 0s   = Inseridos: 3
07:38:27= + 0s   = Inserindo data/formas_abastecimentos_aguas.csv
07:38:27= + 0s   = formas_abastecimentos_aguas.csv
07:38:27= + 0s   = Inseridos: 11
07:38:27= + 0s   = Inserindo data/formas_declarar_idades.csv
07:38:27= + 0s   = formas_declarar_idades.csv
07:38:27= + 0s   = Inseridos: 3
07:38:27= + 0s   = Inserindo data/geladeiras.csv
07:38:27= + 0s   = geladeiras.csv
07:38:27= + 0s   = Inseridos: 3
07:38:27= + 0s   = Inserindo data/maquinas_lavar_roupa.csv
07:38:27= + 0s   = maquinas_lavar_roupa.csv
07:38:27= + 0s   = Inseridos: 3
07:38:27= + 0s   = Inserindo data/marcas_imputacoes.csv
07:38:27= + 0s   = marcas_imputacoes.csv
07:38:27= + 0s   = Inseridos: 3
07:38:27= + 0s   = Inserindo data/medidores_relogios_energia.csv
07:38:27= + 0s   = medidores_relogios_energia.csv
07:38:27= + 0s   = Inseridos: 4
07:38:27= + 0s   = Inserindo data/municipios.csv
07:38:27= + 0s   = municipios.csv
07:38:28= + 1s   = Inseridos: 5566
07:38:28= + 0s   = Inserindo data/regioes_geograficas.csv
07:38:28= + 0s   = regioes_geograficas.csv
07:38:28= + 0s   = Inseridos: 6
07:38:28= + 0s   = Inserindo data/unidades_federativas.csv
07:38:28= + 0s   = unidades_federativas.csv
07:38:28= + 0s   = Inseridos: 28
