03:02:29= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
03:02:30= + 1s   = Inserindo data/adequacoes_moradias.csv
03:02:30= + 0s   = adequacoes_moradias.csv
03:02:30= + 0s   = Inseridos: 4
03:02:30= + 0s   = Inserindo data/atividades_bases.csv
03:02:30= + 0s   = atividades_bases.csv
03:02:30= + 0s   = Inseridos: 223
03:02:30= + 0s   = Inserindo data/atividades_cnae_bases.csv
03:02:30= + 0s   = atividades_cnae_bases.csv
03:02:30= + 0s   = Inseridos: 242
03:02:30= + 0s   = Inserindo data/atividades_cnae_gerais.csv
03:02:30= + 0s   = atividades_cnae_gerais.csv
03:02:30= + 0s   = Inseridos: 23
03:02:30= + 0s   = Inserindo data/atividades_cnae_principais.csv
03:02:30= + 0s   = atividades_cnae_principais.csv
03:02:30= + 0s   = Inseridos: 88
03:02:30= + 0s   = Inserindo data/atividades_gerais.csv
03:02:30= + 0s   = atividades_gerais.csv
03:02:30= + 0s   = Inseridos: 18
03:02:30= + 0s   = Inserindo data/atividades_principais.csv
03:02:30= + 0s   = atividades_principais.csv
03:02:30= + 0s   = Inseridos: 60
03:02:30= + 0s   = Inserindo data/automoveis.csv
03:02:30= + 0s   = automoveis.csv
03:02:30= + 0s   = Inseridos: 3
03:02:30= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
03:02:30= + 0s   = canalizacoes_abastecimentos_aguas.csv
03:02:30= + 0s   = Inseridos: 4
03:02:30= + 0s   = Inserindo data/celulares.csv
03:02:30= + 0s   = celulares.csv
03:02:30= + 0s   = Inseridos: 3
03:02:30= + 0s   = Inserindo data/condicoes_ocupacoes.csv
03:02:30= + 0s   = condicoes_ocupacoes.csv
03:02:30= + 0s   = Inseridos: 7
03:02:30= + 0s   = Inserindo data/cores_racas.csv
03:02:30= + 0s   = cores_racas.csv
03:02:30= + 0s   = Inseridos: 7
03:02:30= + 0s   = Inserindo data/cursos_superiores_bases.csv
03:02:30= + 0s   = cursos_superiores_bases.csv
03:02:30= + 0s   = Inseridos: 91
03:02:30= + 0s   = Inserindo data/cursos_superiores_gerais.csv
03:02:30= + 0s   = cursos_superiores_gerais.csv
03:02:30= + 0s   = Inseridos: 10
03:02:30= + 0s   = Inserindo data/cursos_superiores_principais.csv
03:02:30= + 0s   = cursos_superiores_principais.csv
03:02:30= + 0s   = Inseridos: 23
03:02:30= + 0s   = Inserindo data/destinos_lixos.csv
03:02:30= + 0s   = destinos_lixos.csv
03:02:30= + 0s   = Inseridos: 8
03:02:30= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
03:02:30= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
03:02:30= + 0s   = Inseridos: 6
03:02:30= + 0s   = Inserindo data/doutorados_bases.csv
03:02:30= + 0s   = doutorados_bases.csv
03:02:30= + 0s   = Inseridos: 77
03:02:30= + 0s   = Inserindo data/doutorados_gerais.csv
03:02:30= + 0s   = doutorados_gerais.csv
03:02:30= + 0s   = Inseridos: 10
03:02:30= + 0s   = Inserindo data/doutorados_principais.csv
03:02:30= + 0s   = doutorados_principais.csv
03:02:30= + 0s   = Inseridos: 24
03:02:30= + 0s   = Inserindo data/entrevistados.csv
03:02:30= + 0s   = entrevistados.csv
