01:46:01= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
01:46:02= + 1s   = Inserindo data/adequacoes_moradias.csv
01:46:02= + 0s   = adequacoes_moradias.csv
01:46:02= + 0s   = Inseridos: 4
01:46:02= + 0s   = Inserindo data/atividades_bases.csv
01:46:02= + 0s   = atividades_bases.csv
01:46:02= + 0s   = Inseridos: 223
01:46:02= + 0s   = Inserindo data/atividades_cnae_bases.csv
01:46:02= + 0s   = atividades_cnae_bases.csv
01:46:02= + 0s   = Inseridos: 242
01:46:02= + 0s   = Inserindo data/atividades_cnae_gerais.csv
01:46:02= + 0s   = atividades_cnae_gerais.csv
01:46:02= + 0s   = Inseridos: 23
01:46:02= + 0s   = Inserindo data/atividades_cnae_principais.csv
01:46:02= + 0s   = atividades_cnae_principais.csv
01:46:03= + 1s   = Inseridos: 88
01:46:03= + 0s   = Inserindo data/atividades_gerais.csv
01:46:03= + 0s   = atividades_gerais.csv
01:46:03= + 0s   = Inseridos: 18
01:46:03= + 0s   = Inserindo data/atividades_principais.csv
01:46:03= + 0s   = atividades_principais.csv
01:46:03= + 0s   = Inseridos: 60
01:46:03= + 0s   = Inserindo data/automoveis.csv
01:46:03= + 0s   = automoveis.csv
01:46:03= + 0s   = Inseridos: 3
01:46:03= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
01:46:03= + 0s   = canalizacoes_abastecimentos_aguas.csv
01:46:03= + 0s   = Inseridos: 4
01:46:03= + 0s   = Inserindo data/celulares.csv
01:46:03= + 0s   = celulares.csv
01:46:03= + 0s   = Inseridos: 3
01:46:03= + 0s   = Inserindo data/condicoes_ocupacoes.csv
01:46:03= + 0s   = condicoes_ocupacoes.csv
01:46:03= + 0s   = Inseridos: 7
01:46:03= + 0s   = Inserindo data/cores_racas.csv
01:46:03= + 0s   = cores_racas.csv
01:46:03= + 0s   = Inseridos: 7
01:46:03= + 0s   = Inserindo data/cursos_superiores_bases.csv
01:46:03= + 0s   = cursos_superiores_bases.csv
01:46:03= + 0s   = Inseridos: 91
01:46:03= + 0s   = Inserindo data/cursos_superiores_gerais.csv
01:46:03= + 0s   = cursos_superiores_gerais.csv
01:46:03= + 0s   = Inseridos: 10
01:46:03= + 0s   = Inserindo data/cursos_superiores_principais.csv
01:46:03= + 0s   = cursos_superiores_principais.csv
01:46:03= + 0s   = Inseridos: 23
01:46:03= + 0s   = Inserindo data/destinos_lixos.csv
01:46:03= + 0s   = destinos_lixos.csv
01:46:03= + 0s   = Inseridos: 8
01:46:03= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
01:46:03= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
01:46:03= + 0s   = Inseridos: 6
01:46:03= + 0s   = Inserindo data/doutorados_bases.csv
01:46:03= + 0s   = doutorados_bases.csv
01:46:03= + 0s   = Inseridos: 77
01:46:03= + 0s   = Inserindo data/doutorados_gerais.csv
01:46:03= + 0s   = doutorados_gerais.csv
01:46:03= + 0s   = Inseridos: 10
01:46:03= + 0s   = Inserindo data/doutorados_principais.csv
01:46:03= + 0s   = doutorados_principais.csv
01:46:03= + 0s   = Inseridos: 24
01:46:03= + 0s   = Inserindo data/entrevistados.csv
01:46:03= + 0s   = entrevistados.csv
01:46:03= + 0s   = Inseridos: 21
01:46:03= + 0s   = Inserindo data/esgotamentos_sanitarios.csv
01:46:03= + 0s   = esgotamentos_sanitarios.csv
01:46:03= + 0s   = Inseridos: 7
01:46:03= + 0s   = Inserindo data/especies.csv
01:46:03= + 0s   = especies.csv
01:46:04= + 1s   = Inseridos: 14
01:46:04= + 0s   = Inserindo data/especies_unidades_visitadas.csv
01:46:04= + 0s   = especies_unidades_visitadas.csv
01:46:04= + 0s   = Inseridos: 5
01:46:04= + 0s   = Inserindo data/existencias_energias_eletricas.csv
01:46:04= + 0s   = existencias_energias_eletricas.csv
01:46:04= + 0s   = Inseridos: 4
01:46:04= + 0s   = Inserindo data/falecimentos_entre_datas.csv
01:46:04= + 0s   = falecimentos_entre_datas.csv
01:46:04= + 0s   = Inseridos: 3
01:46:04= + 0s   = Inserindo data/formas_abastecimentos_aguas.csv
01:46:04= + 0s   = formas_abastecimentos_aguas.csv
01:46:04= + 0s   = Inseridos: 11
01:46:04= + 0s   = Inserindo data/formas_declarar_idades.csv
01:46:04= + 0s   = formas_declarar_idades.csv
01:46:04= + 0s   = Inseridos: 3
01:46:04= + 0s   = Inserindo data/geladeiras.csv
01:46:04= + 0s   = geladeiras.csv
01:46:04= + 0s   = Inseridos: 3
01:46:04= + 0s   = Inserindo data/maquinas_lavar_roupa.csv
01:46:04= + 0s   = maquinas_lavar_roupa.csv
01:46:04= + 0s   = Inseridos: 3
01:46:04= + 0s   = Inserindo data/marcas_imputacoes.csv
01:46:04= + 0s   = marcas_imputacoes.csv
01:46:04= + 0s   = Inseridos: 3
01:46:04= + 0s   = Inserindo data/medidores_relogios_energia.csv
01:46:04= + 0s   = medidores_relogios_energia.csv
01:46:04= + 0s   = Inseridos: 4
01:46:04= + 0s   = Inserindo data/municipios.csv
01:46:04= + 0s   = municipios.csv
01:46:05= + 1s   = Inseridos: 5566
01:46:05= + 0s   = Inserindo data/regioes_geograficas.csv
01:46:05= + 0s   = regioes_geograficas.csv
01:46:05= + 0s   = Inseridos: 6
01:46:05= + 0s   = Inserindo data/unidades_federativas.csv
01:46:05= + 0s   = unidades_federativas.csv
01:46:05= + 0s   = Inseridos: 28
