12:49:59= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
12:50:01= + 2s   = Inserindo data/adequacoes_moradias.csv
12:50:01= + 0s   = adequacoes_moradias.csv
12:50:04= + 3s   = Inseridos: 4
12:50:04= + 0s   = Inserindo data/atividades_bases.csv
12:50:04= + 0s   = atividades_bases.csv
12:50:04= + 0s   = Inseridos: 223
12:50:04= + 0s   = Inserindo data/atividades_cnae_bases.csv
12:50:04= + 0s   = atividades_cnae_bases.csv
12:50:05= + 1s   = Inseridos: 242
12:50:05= + 0s   = Inserindo data/atividades_cnae_gerais.csv
12:50:05= + 0s   = atividades_cnae_gerais.csv
12:50:06= + 1s   = Inseridos: 23
12:50:06= + 0s   = Inserindo data/atividades_cnae_principais.csv
12:50:06= + 0s   = atividades_cnae_principais.csv
12:50:06= + 0s   = Inseridos: 88
12:50:06= + 0s   = Inserindo data/atividades_gerais.csv
12:50:06= + 0s   = atividades_gerais.csv
12:50:07= + 1s   = Inseridos: 18
12:50:07= + 0s   = Inserindo data/atividades_principais.csv
12:50:07= + 0s   = atividades_principais.csv
12:50:07= + 0s   = Inseridos: 60
12:50:07= + 0s   = Inserindo data/automoveis.csv
12:50:07= + 0s   = automoveis.csv
12:50:09= + 2s   = Inseridos: 3
12:50:09= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
12:50:09= + 0s   = canalizacoes_abastecimentos_aguas.csv
12:50:09= + 0s   = Inseridos: 4
12:50:09= + 0s   = Inserindo data/celulares.csv
12:50:09= + 0s   = celulares.csv
12:50:09= + 0s   = Inseridos: 3
12:50:09= + 0s   = Inserindo data/condicoes_ocupacoes.csv
12:50:09= + 0s   = condicoes_ocupacoes.csv
12:50:10= + 1s   = Inseridos: 7
12:50:10= + 0s   = Inserindo data/cores_racas.csv
12:50:10= + 0s   = cores_racas.csv
12:50:11= + 1s   = Inseridos: 7
12:50:11= + 0s   = Inserindo data/cursos_superiores_bases.csv
12:50:11= + 0s   = cursos_superiores_bases.csv
12:50:11= + 0s   = Inseridos: 91
12:50:11= + 0s   = Inserindo data/cursos_superiores_gerais.csv
12:50:11= + 0s   = cursos_superiores_gerais.csv
12:50:12= + 1s   = Inseridos: 10
12:50:12= + 0s   = Inserindo data/cursos_superiores_principais.csv
12:50:12= + 0s   = cursos_superiores_principais.csv
12:50:12= + 0s   = Inseridos: 23
12:50:12= + 0s   = Inserindo data/destinos_lixos.csv
12:50:12= + 0s   = destinos_lixos.csv
12:50:13= + 1s   = Inseridos: 8
12:50:13= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
12:50:13= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
12:50:13= + 0s   = Inseridos: 6
12:50:13= + 0s   = Inserindo data/doutorados_bases.csv
12:50:13= + 0s   = doutorados_bases.csv
12:50:14= + 1s   = Inseridos: 77
12:50:14= + 0s   = Inserindo data/doutorados_gerais.csv
12:50:14= + 0s   = doutorados_gerais.csv
12:50:14= + 0s   = Inseridos: 10
12:50:14= + 0s   = Inserindo data/doutorados_principais.csv
12:50:14= + 0s   = doutorados_principais.csv
12:50:14= + 0s   = Inseridos: 24
12:50:14= + 0s   = Inserindo data/entrevistados.csv
12:50:14= + 0s   = entrevistados.csv
12:50:14= + 0s   = Inseridos: 21
12:50:14= + 0s   = Inserindo data/municipios.csv
12:50:14= + 0s   = municipios.csv
12:50:16= + 2s   = Inseridos: 5566
12:50:16= + 0s   = Inserindo data/regioes_geograficas.csv
12:50:16= + 0s   = regioes_geograficas.csv
12:50:17= + 1s   = Inseridos: 6
12:50:17= + 0s   = Inserindo data/unidades_federativas.csv
12:50:17= + 0s   = unidades_federativas.csv
12:50:17= + 0s   = Inseridos: 28
