08:42:32= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
08:42:35= + 3s   = Inserindo data/adequacoes_moradias.csv
08:42:35= + 0s   = adequacoes_moradias.csv
08:42:35= + 0s   = Inseridos: 4
08:42:35= + 0s   = Inserindo data/atividades_bases.csv
08:42:35= + 0s   = atividades_bases.csv
08:42:36= + 1s   = Inseridos: 223
08:42:36= + 0s   = Inserindo data/atividades_cnae_bases.csv
08:42:36= + 0s   = atividades_cnae_bases.csv
08:42:36= + 0s   = Inseridos: 242
08:42:36= + 0s   = Inserindo data/atividades_cnae_gerais.csv
08:42:36= + 0s   = atividades_cnae_gerais.csv
08:42:36= + 0s   = Inseridos: 23
08:42:36= + 0s   = Inserindo data/atividades_cnae_principais.csv
08:42:36= + 0s   = atividades_cnae_principais.csv
08:42:36= + 0s   = Inseridos: 88
08:42:36= + 0s   = Inserindo data/atividades_gerais.csv
08:42:36= + 0s   = atividades_gerais.csv
08:42:36= + 0s   = Inseridos: 18
08:42:36= + 0s   = Inserindo data/atividades_principais.csv
08:42:36= + 0s   = atividades_principais.csv
08:42:36= + 0s   = Inseridos: 60
08:42:36= + 0s   = Inserindo data/automoveis.csv
08:42:36= + 0s   = automoveis.csv
08:42:36= + 0s   = Inseridos: 3
08:42:36= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
08:42:36= + 0s   = canalizacoes_abastecimentos_aguas.csv
08:42:36= + 0s   = Inseridos: 4
08:42:36= + 0s   = Inserindo data/celulares.csv
08:42:36= + 0s   = celulares.csv
08:42:36= + 0s   = Inseridos: 3
08:42:36= + 0s   = Inserindo data/condicoes_ocupacoes.csv
08:42:36= + 0s   = condicoes_ocupacoes.csv
08:42:36= + 0s   = Inseridos: 7
08:42:36= + 0s   = Inserindo data/cores_racas.csv
08:42:36= + 0s   = cores_racas.csv
08:42:36= + 0s   = Inseridos: 7
08:42:36= + 0s   = Inserindo data/cursos_superiores_bases.csv
08:42:36= + 0s   = cursos_superiores_bases.csv
08:42:36= + 0s   = Inseridos: 91
08:42:36= + 0s   = Inserindo data/cursos_superiores_gerais.csv
08:42:36= + 0s   = cursos_superiores_gerais.csv
08:42:36= + 0s   = Inseridos: 10
08:42:36= + 0s   = Inserindo data/cursos_superiores_principais.csv
08:42:36= + 0s   = cursos_superiores_principais.csv
08:42:37= + 1s   = Inseridos: 23
08:42:37= + 0s   = Inserindo data/destinos_lixos.csv
08:42:37= + 0s   = destinos_lixos.csv
08:42:37= + 0s   = Inseridos: 8
08:42:37= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
08:42:37= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
08:42:37= + 0s   = Inseridos: 6
08:42:37= + 0s   = Inserindo data/doutorados_bases.csv
08:42:37= + 0s   = doutorados_bases.csv
08:42:37= + 0s   = Inseridos: 77
08:42:37= + 0s   = Inserindo data/doutorados_gerais.csv
08:42:37= + 0s   = doutorados_gerais.csv
08:42:37= + 0s   = Inseridos: 10
08:42:37= + 0s   = Inserindo data/doutorados_principais.csv
08:42:37= + 0s   = doutorados_principais.csv
08:42:37= + 0s   = Inseridos: 24
08:42:37= + 0s   = Inserindo data/entrevistados.csv
08:42:37= + 0s   = entrevistados.csv
08:42:37= + 0s   = Inseridos: 21
08:42:37= + 0s   = Inserindo data/esgotamentos_sanitarios.csv
08:42:37= + 0s   = esgotamentos_sanitarios.csv
08:42:37= + 0s   = Inseridos: 7
08:42:37= + 0s   = Inserindo data/especies.csv
08:42:37= + 0s   = especies.csv
08:42:37= + 0s   = Inseridos: 14
08:42:37= + 0s   = Inserindo data/especies_unidades_visitadas.csv
08:42:37= + 0s   = especies_unidades_visitadas.csv
08:42:37= + 0s   = Inseridos: 5
08:42:37= + 0s   = Inserindo data/existencias_energias_eletricas.csv
08:42:37= + 0s   = existencias_energias_eletricas.csv
08:42:37= + 0s   = Inseridos: 4
08:42:37= + 0s   = Inserindo data/falecimentos_entre_datas.csv
08:42:37= + 0s   = falecimentos_entre_datas.csv
08:42:37= + 0s   = Inseridos: 3
08:42:37= + 0s   = Inserindo data/formas_abastecimentos_aguas.csv
08:42:37= + 0s   = formas_abastecimentos_aguas.csv
08:42:37= + 0s   = Inseridos: 11
08:42:37= + 0s   = Inserindo data/formas_declarar_idades.csv
08:42:37= + 0s   = formas_declarar_idades.csv
08:42:37= + 0s   = Inseridos: 3
08:42:37= + 0s   = Inserindo data/geladeiras.csv
08:42:37= + 0s   = geladeiras.csv
08:42:37= + 0s   = Inseridos: 3
08:42:38= + 1s   = Inserindo data/maquinas_lavar_roupa.csv
08:42:38= + 0s   = maquinas_lavar_roupa.csv
08:42:38= + 0s   = Inseridos: 3
08:42:38= + 0s   = Inserindo data/marcas_imputacoes.csv
08:42:38= + 0s   = marcas_imputacoes.csv
08:42:38= + 0s   = Inseridos: 3
08:42:38= + 0s   = Inserindo data/medidores_relogios_energia.csv
08:42:38= + 0s   = medidores_relogios_energia.csv
08:42:38= + 0s   = Inseridos: 4
08:42:38= + 0s   = Inserindo data/mesorregioes.csv
08:42:38= + 0s   = mesorregioes.csv
08:42:38= + 0s   = Inseridos: 138
08:42:38= + 0s   = Inserindo data/mestrados_bases.csv
08:42:38= + 0s   = mestrados_bases.csv
08:42:38= + 0s   = Inseridos: 80
08:42:38= + 0s   = Inserindo data/mestrados_gerais.csv
08:42:38= + 0s   = mestrados_gerais.csv
08:42:38= + 0s   = Inseridos: 10
08:42:38= + 0s   = Inserindo data/mestrados_principais.csv
08:42:38= + 0s   = mestrados_principais.csv
08:42:38= + 0s   = Inseridos: 24
08:42:38= + 0s   = Inserindo data/microcomputadores.csv
08:42:38= + 0s   = microcomputadores.csv
08:42:38= + 0s   = Inseridos: 3
08:42:38= + 0s   = Inserindo data/microcomputadores_acesso_internet.csv
08:42:38= + 0s   = microcomputadores_acesso_internet.csv
08:42:38= + 0s   = Inseridos: 3
08:42:38= + 0s   = Inserindo data/microrregioes.csv
08:42:38= + 0s   = microrregioes.csv
08:42:38= + 0s   = Inseridos: 559
08:42:38= + 0s   = Inserindo data/migracoes_deslocamentos_paises_estrangeiros.csv
08:42:38= + 0s   = migracoes_deslocamentos_paises_estrangeiros.csv
08:42:38= + 0s   = Inseridos: 200
08:42:38= + 0s   = Inserindo data/motocicletas.csv
08:42:38= + 0s   = motocicletas.csv
08:42:38= + 0s   = Inseridos: 3
08:42:38= + 0s   = Inserindo data/municipios.csv
08:42:38= + 0s   = municipios.csv
08:42:39= + 1s   = Inseridos: 5566
08:42:39= + 0s   = Inserindo data/ocupacoes_bases.csv
08:42:39= + 0s   = ocupacoes_bases.csv
08:42:39= + 0s   = Inseridos: 512
08:42:39= + 0s   = Inserindo data/ocupacoes_gerais.csv
08:42:39= + 0s   = ocupacoes_gerais.csv
08:42:39= + 0s   = Inseridos: 11
08:42:39= + 0s   = Inserindo data/ocupacoes_principais.csv
08:42:39= + 0s   = ocupacoes_principais.csv
08:42:40= + 1s   = Inseridos: 49
08:42:40= + 0s   = Inserindo data/ocupacoes_subgrupos.csv
08:42:40= + 0s   = ocupacoes_subgrupos.csv
08:42:40= + 0s   = Inseridos: 190
08:42:40= + 0s   = Inserindo data/paredes_externas.csv
08:42:40= + 0s   = paredes_externas.csv
08:42:40= + 0s   = Inseridos: 10
08:42:40= + 0s   = Inserindo data/pessoas_moravam_outros_paises.csv
08:42:40= + 0s   = pessoas_moravam_outros_paises.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/ponderacoes.csv
08:42:40= + 0s   = ponderacoes.csv
08:42:40= + 0s   = Inseridos: 389
08:42:40= + 0s   = Inserindo data/quantidades_banheiros.csv
08:42:40= + 0s   = quantidades_banheiros.csv
08:42:40= + 0s   = Inseridos: 10
08:42:40= + 0s   = Inserindo data/quantidades_comodos.csv
08:42:40= + 0s   = quantidades_comodos.csv
08:42:40= + 0s   = Inseridos: 31
08:42:40= + 0s   = Inserindo data/quantidades_dormitorios.csv
08:42:40= + 0s   = quantidades_dormitorios.csv
08:42:40= + 0s   = Inseridos: 16
08:42:40= + 0s   = Inserindo data/radios.csv
08:42:40= + 0s   = radios.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/regioes_geograficas.csv
08:42:40= + 0s   = regioes_geograficas.csv
08:42:40= + 0s   = Inseridos: 6
08:42:40= + 0s   = Inserindo data/registros_nascimentos.csv
08:42:40= + 0s   = registros_nascimentos.csv
08:42:40= + 0s   = Inseridos: 7
08:42:40= + 0s   = Inserindo data/religioes.csv
08:42:40= + 0s   = religioes.csv
08:42:40= + 0s   = Inseridos: 201
08:42:40= + 0s   = Inserindo data/responsaveis_domicilios.csv
08:42:40= + 0s   = responsaveis_domicilios.csv
08:42:40= + 0s   = Inseridos: 4
08:42:40= + 0s   = Inserindo data/sanitarios_buracos_dejecoes.csv
08:42:40= + 0s   = sanitarios_buracos_dejecoes.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/sexos.csv
08:42:40= + 0s   = sexos.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/situacoes_domicilios.csv
08:42:40= + 0s   = situacoes_domicilios.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/situacoes_setores.csv
08:42:40= + 0s   = situacoes_setores.csv
08:42:40= + 0s   = Inseridos: 9
08:42:40= + 0s   = Inserindo data/telefones_fixos.csv
08:42:40= + 0s   = telefones_fixos.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/televisoes.csv
08:42:40= + 0s   = televisoes.csv
08:42:40= + 0s   = Inseridos: 3
08:42:40= + 0s   = Inserindo data/unidades_domesticas.csv
08:42:40= + 0s   = unidades_domesticas.csv
08:42:40= + 0s   = Inseridos: 5
08:42:40= + 0s   = Inserindo data/unidades_federativas.csv
08:42:40= + 0s   = unidades_federativas.csv
08:42:40= + 0s   = Inseridos: 28
